motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;estado_salud;pract_higie_dota;capaci_mani_higie_alim3;pers_mani_aliment;condi_equi_ut_sup_beb_alco;preven_cont_cruz;condi_almac;almac_comerc;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;proced_bebi_alco;ley_obl_beb_alco;veri_product_beb_alco;p_cumplimiento
PROGRAMACION;27;17/11/2020;24/12/2020;1,57595E+12;CARRERA 12 N 7/17;CASTELLANOS;2;2;2;1;8;1;2;0;10,5;2;2;2;19;1;2;2;2;2;0;31,5;2;2;14;83
PROGRAMACION;28;14/10/2020;24/12/2020;1,57595E+12;CALLE 16 N 10/72;CENTRO;2;2;1;2;9;0;2;0;7;2;2;2;19;2;2;2;2;2;1;36,5;2;2;14;85.5
PROGRAMACION;29;7/09/2020;24/12/2020;1,57595E+12;CARRERA 13 N 12/78;CENTRO;2;1;2;1;7;2;2;0;14;2;1;2;15;2;2;1;2;1;0;28,5;2;2;14;78.5
PROGRAMACION;30;2/09/2020;24/12/2020;157591057592186/9;CARRERA 10 N 10/52;CENTRO;2;2;2;2;10;2;2;2;19;2;2;2;19;2;2;2;2;2;2;38;2;2;14;100
PROGRAMACION;31;9/10/2020;24/12/2020;1,57595E+12;CARRERA 11 N 2/76 SUR;VILLITA;2;1;2;1;7;2;2;1;16,5;2;2;2;19;1;2;1;2;2;0;28,5;2;2;14;85
PROGRAMACION;32;7/10/2020;24/12/2020;1,576E+11;CARRERA 12 N 53B/42;ALVARO GOMEZ SANTANA;2;1;2;2;9;2;2;0;14;2;2;2;19;2;2;1;2;1;0;28,5;2;2;14;84.5
PROGRAMACION;33;26/10/2020;24/12/2020;1,57595E+12;CALLE 11A N 16/20;20 DE JULIO;2;2;2;1;8;1;1;1;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;86.5
PROGRAMACION;34;4/10/2020;24/12/2020;1,57595E+12;CALLE 11 B N 16/48;20 DE JULIO;2;2;2;1;8;1;2;0;10,5;2;1;1;12.5;2;2;2;2;2;0;35;2;2;14;80
PROGRAMACION;35;27/03/2020;24/12/2020;1,57595E+12;CALLE 7 N 5/34;SUGAMUXI;2;2;2;2;10;2;2;2;19;2;2;2;19;2;2;2;2;2;1;36,5;2;1;11.5;96
PROGRAMACION;36;30/03/2020;24/12/2020;1,57592E+12;CARRERA 16 N 8/22;SANTA INES;2;2;2;1;8;1;2;1;13;2;2;2;19;2;2;2;2;2;1;36,5;2;2;14;90.5
PROGRAMACION;37;27/03/2020;24/12/2020;1,57592E+12;CARRERA 5 N 3/64;SUGAMUXI;2;2;2;2;10;1;2;1;13;2;2;2;19;2;2;2;2;2;1;36,5;2;1;11.5;90
PROGRAMACION;38;27/03/2020;24/12/2020;1,57593E+12;CALLE 7 N 7/80;SUGAMUXI;2;1;2;2;9;1;2;2;15,5;2;2;2;19;2;2;1;2;2;1;33,5;2;1;11.5;88.5
PROGRAMACION;39;22/04/2020;24/12/2020;1,576E+11;CALLE 1 N 13/24;UNIVERSITARIO;2;2;2;1;8;0;2;1;9,5;2;2;2;19;1;2;1;2;2;0;28,5;2;2;14;79
PROGRAMACION;40;21/10/2020;24/12/2020;1,57595E+13;CALLE 13 N 13/55;CENTRO;2;2;2;1;8;1;2;0;10,5;2;2;2;19;1;2;1;2;2;0;28,5;2;2;14;80
PROGRAMACION;41;28/10/2020;24/12/2020;1,57595E+12;CARRERA 26 N 8A/10;VALDEZ TAVERA;2;2;2;2;10;1;2;2;15,5;2;2;1;15.5;2;2;2;2;2;0;35;2;2;14;90
PROGRAMACION;42;10/03/2020;24/12/2020;1,57597E+12;CALLE 8 BIS N 10/68;OLAYA HERRERA;2;2;2;2;10;1;1;2;12;2;2;2;19;2;2;1;2;2;1;33,5;2;1;11.5;86
PROGRAMACION;43;10/11/2020;25/12/2020;NO PRESENTA;CARRERA 17 N 7 BIS/35;EL ROSARIO 2;2;2;2;1;8;1;1;0;7;2;2;1;15.5;2;2;2;2;2;0;35;2;2;14;79.5
PROGRAMACION;44;17/11/2020;25/12/2020;1,57597E+12;CARRERA 12 N 7/43;CASTELLANOS;2;1;2;2;9;1;1;0;7;2;1;2;16;2;2;2;2;1;0;31,5;2;2;14;77.5
PROGRAMACION;45;17/11/2020;25/12/2020;1,57592E+12;CARRERA 13 A N 7B/70;LA CASTELLANA;2;2;2;2;10;1;2;0;10,5;2;2;1;15.5;2;2;2;2;2;0;35;2;2;14;85
PROGRAMACION;46;21/11/2020;25/12/2020;1,57595E+12;VEREDA VANEGAS KM 7 VIA IZA;VEREDA VANEGAS KM 7 VIA IZA;1;1;2;1;6;0;1;0;3,5;2;2;1;15.5;1;2;1;2;1;0;25;2;2;14;64
PROGRAMACION;47;25/11/2020;25/12/2020;1,57592E+12;CARRERA 11 N 16/55 SUR;VENECIA;2;2;2;1;8;1;2;0;10,5;2;2;2;19;1;2;1;2;2;0;28,5;2;2;14;80
PROGRAMACION;48;25/11/2020;25/12/2020;1,57592E+12;CARRERA 14 N 16/22;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;88.5
PROGRAMACION;49;25/11/2020;25/12/2020;1,57595E+12;CARRERA 20 N 18/42;LOS ROSALES;2;2;2;1;8;0;2;0;7;2;2;2;19;1;2;2;2;2;0;31,5;2;2;14;79.5
PROGRAMACION;50;2/11/2020;25/12/2020;1,57595E+12;CALLE 11 N 32/45;LA ISLA;2;2;2;1;8;1;2;1;13;2;2;1;15.5;2;2;2;2;2;0;35;2;2;14;88.5
PROGRAMACION;51;10/11/2020;25/12/2020;1,57591E+14;CALLE 9 N 9/17;SANTA ANA;2;2;2;1;8;2;1;2;15,5;2;2;1;15.5;1;2;1;2;1;0;25,5;2;2;14;78.5
PROGRAMACION;52;10/11/2020;25/12/2020;1,57591E+13;CALLE 9 N 11/66;PUENTE PESCA;2;2;2;1;8;1;1;0;7;2;2;2;19;2;2;1;2;2;0;32;2;2;14;80
PROGRAMACION;53;9/11/2020;25/12/2020;1,57595E+11;CARRERA 20 N 11B/11;20 DE JULIO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;1;2;2;2;2;0;31,5;2;2;14;80
PROGRAMACION;54;18/11/2020;25/12/2020;1,57595E+12;CALLE 11 N 28/04;ANGEL MAR;2;2;2;1;8;1;1;0;7;2;2;2;19;2;2;2;2;2;0;35;2;2;14;83
PROGRAMACION;55;18/11/2020;25/12/2020;1,57595E+12;CALLE 11 N 27/19;VALDEZ TAVERA;2;2;2;1;8;0;2;0;7;2;2;2;19;2;2;1;2;2;0;32;2;2;14;80
PROGRAMACION;56;19/11/2020;25/12/2020;1,57593E+12;CARRERA 32 N 9/86;LA ISLA;2;1;2;2;9;0;1;0;3,5;2;1;2;15.5;2;2;2;2;1;0;31,5;2;2;14;73.5
PROGRAMACION;57;25/11/2020;25/12/2020;1,57595E+12;CARRERA 11 N 10/21 SUR;ARENERAS;2;2;2;1;8;1;2;0;10,5;2;2;2;19;1;2;2;2;2;0;31,5;2;2;14;83
PROGRAMACION;58;25/11/2020;25/12/2020;1,75791E+14;CARRERA 11 N 41/81;CHAPINERO BAJO;2;2;2;2;10;0;2;0;7;2;2;2;19;1;2;2;2;2;2;34,5;2;2;14;84.5
PQR;59;6/03/2020;25/12/2020;NO PRESENTA;CALLE 8 N 19A/14;SANTA INES;2;1;2;1;7;2;2;1;16,5;2;2;2;19;2;2;1;2;1;1;30;2;2;14;86.5
PROGRAMACION;60;6/11/2020;25/12/2020;1,57592E+12;CARRERA 32 N 10/45;LA ISLA;2;2;2;2;10;0;2;0;7;2;1;2;15;2;2;2;2;1;0;35;2;2;14;81
PROGRAMACION;61;17/03/2020;25/12/2020;1,57593E+12;CALLE 8 N 10/29;OLAYA HERRERA;2;2;2;1;8;1;1;1;9,5;2;2;2;19;1;2;2;2;2;1;33;2;1;11.5;62
PROGRAMACION;62;23/10/2020;25/12/2020;1,57595E+12;CARRERA 11 N 23/38;LAGUITO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;88.5
PROGRAMACION;63;21/10/2020;25/12/2020;1,57595E+12;CARRERA 13 N 14/112;CENTRO;2;2;2;2;10;0;2;0;7;2;2;2;19;2;2;1;2;2;0;32;2;2;14;82
PROGRAMACION;64;29/10/2020;25/12/2020;1,57591E+14;CARRERA 14 N 1B/23 SUR;UNIVERSITARIO;2;2;2;2;9;1;2;0;10,5;2;2;2;19;2;2;1;2;1;0;28,5;2;0;9;76
SOLICITUD DEL I;65;17/03/2020;25/12/2020;1,57597E+14;CALLE 8 BIS N 10/95;CENTRO;2;1;1;1;6;1;2;1;13;2;2;2;19;1;2;1;2;2;1;30;2;2;14;82
PROGRAMACION;66;31/03/2020;25/12/2020;1,57595E+12;CALLE 5 N 10/86;OLAYA HERRERA;2;2;2;2;10;1;2;1;13;2;2;2;19;2;2;2;2;2;1;36,5;2;2;14;92.5
PROGRAMACION;67;24/10/2020;25/12/2020;1,57591E+14;CARRERA 9 N 13/68;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;31,5;2;2;14;85
PROGRAMACION;68;5/10/2020;25/12/2020;1,57592E+12;CALLE 54 N 11D/24;CIUDAD VERDE;2;1;2;1;7;1;2;0;10,5;2;2;2;19;2;2;1;2;2;0;32;2;2;14;82.5
PROGRAMACION;69;19/10/2020;25/12/2020;1,57591E+14;CARRERA 12 N 18/10;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;1;2;2;2;2;0;31,5;2;2;14;85
PROGRAMACION;70;26/10/2020;25/12/2020;1,57594E+12;CARRERA 20 N 6/12;SIMON BOLIVAR;1;2;2;2;9;1;1;0;7;2;2;2;19;2;2;2;2;2;0;35;2;2;14;84
PROGRAMACION;71;26/10/2020;25/12/2020;1,57591E+14;CARRERA 14 N 14/32;CENTRO;2;2;2;2;10;2;1;2;15,5;2;2;2;19;2;2;1;2;2;2;35;2;2;14;93.5
PROGRAMACION;72;28/10/2020;25/12/2020;1,57595E+12;CARRERA 28 N 10/07;VALDEZ TAVERA;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;88.5
PROGRAMACION;73;28/10/2020;25/12/2020;1,57591E+14;CALLE 9 N 28/42;VALDEZ TAVERA;2;2;2;1;8;0;2;0;7;2;1;1;12.5;2;2;2;2;1;0;31,5;2;2;14;73
PROGRAMACION;74;22/10/2020;27/12/2020;1,576E+11;CARRERA 11 N 2 /19;SANTA CATALINA;2;2;2;1;8;1;2;0;10,5;2;2;1;15.5;2;2;1;2;1;0;28,5;2;2;14;76.5
PROGRAMACION;75;2/09/2020;27/12/2020;1,576E+11;CALLE 6 N 10A/73;OLAYA HERRERA;2;2;2;1;8;0;2;0;7;2;2;2;19;2;2;2;2;2;0;35;2;2;14;83
PROGRAMACION;76;17/10/2020;27/12/2020;1,57595E+12;DIAGONAL 59 N 11A/47;GUSTAVO GIMENEZ;2;2;2;1;8;1;2;0;10,5;2;2;2;19;2;2;2;2;1;0;31,5;2;2;14;83
PROGRAMACION;77;13/10/2020;27/12/2020;1,57595E+12;DIAGONAL 59 N 11BIS/15;EL DIAMANTE;2;1;1;2;6;0;2;0;7;2;2;2;19;2;1;2;2;2;1;33,5;2;2;14;79.5
PROGRAMACION;78;19/10/2020;27/12/2020;1,57595E+12;CARRERA 11 N 12/82;CENTRO;2;2;2;2;10;2;2;2;11;2;2;2;19;2;2;2;2;2;1;36,5;2;2;14;98.5
PROGRAMACION;79;20/10/2020;27/12/2020;1,57591E+14;CARRERA 9 N 14/14;SAN MARTIN;2;2;2;1;8;1;1;0;7;2;2;2;19;1;2;1;2;2;0;32,5;2;2;14;80.5
PROGRAMACION;80;19/10/2020;27/12/2020;NO PRESENTA;CARRERA 18 N 1/13;UNIVERSITARIO;2;2;1;1;70;1;1;0;7;2;1;2;18;2;2;0;2;1;0;25,5;2;2;14;71.5
PROGRAMACION;81;23/10/2020;27/12/2020;1,57591E+14;CARRERA 11 N 35/60;PRADERA;2;2;2;1;8;0;0;0;0;2;2;2;19;2;2;1;2;2;0;32,5;2;2;14;73.5
