motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;84;16/09/2020;4/10/2020;157591057575299;URBANA;VENECIA;2;1;1;1;6;1;2;9,5;1;2;1;2;13;1;2;1;1;17;1;2;1;2;1;0;13;58,5
PROGRAMACION;85;16/09/2020;4/10/2020;157891057586955;URBANA;CENTRO;2;2;2;1;8;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;2;0;25,5;66
PROGRAMACION;86;17/09/2020;4/10/2020;157591058603970;URBANA;CENTRO;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;62,5
SOLICITUD DEL I;87;15/09/2020;5/10/2020;157591057574295;URBANA;SAN RAFAEL;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;2;2;22,5;1;2;2;2;2;0;27,5;75
PROGRAMACION;88;15/09/2020;5/10/2020;1575946364293;URBANA;SANTA INES;2;1;1;2;8;1;1;6;1;0;1;1;9;1;2;1;1;17;1;1;2;2;1;0;22;62
PROGRAMACION;89;10/08/2020;5/10/2020;1575974376500;URBANA;CENTRO;1;1;1;2;7;2;2;12;1;0;1;0;7;2;2;1;2;21,5;1;2;1;2;1;0;22;69
PROGRAMACION;90;9/09/2020;5/10/2020;1575974181602;URBANA;CENTRO;2;2;1;2;9;1;2;9,5;1;0;1;0;7;1;2;1;2;19;1;2;1;2;1;0;22;66,5
PROGRAMACION;91;2/09/2020;5/10/2020;1575974083755;URBANA;LAGUITO;1;1;2;1;6;1;2;9,5;1;0;1;0;7;1;2;1;2;19;1;2;1;2;1;0;22;63,5
PROGRAMACION;92;13/08/2020;6/10/2020;1575946381142;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;2;2;1;2;16.5;1;2;2;2;22,5;1;2;1;2;2;0;25,5;79
PROGRAMACION;93;10/08/2020;6/10/2020;1575974081489;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;1;0;1;1;9;1;2;1;2;19;1;2;2;2;1;0;24;66,5
PROGRAMACION;94;12/08/2020;6/10/2020;1575966839531;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;2;19;1;2;2;2;1;0;24;64,5
PROGRAMACION;95;7/09/2020;7/10/2020;1575946366872;URBANA;CENTRO;2;1;1;1;6;2;2;12;1;1;1;1;10;2;2;2;1;23;1;2;2;2;2;0;27,5;78,5
PROGRAMACION;96;28/08/2020;7/10/2020;157594635004;URBANA;TERMINAL;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;2;2;22,5;1;2;2;2;1;0;24;65,5
PROGRAMACION;97;28/08/2020;7/10/2020;1575946376353;URBANA;TERMINAL;2;1;1;1;6;1;1;6;1;0;1;1;9;1;2;2;1;20,5;1;2;2;2;1;0;24;65,5
PROGRAMACION;98;11/09/2020;7/10/2020;1575946360523;URBANA;TERMINAL;2;2;1;1;7;2;2;12;1;2;2;2;16.5;1;2;2;2;22,5;2;2;1;2;1;1;26,5;84,5
PROGRAMACION;99;7/09/2020;7/10/2020;1575946385301;URBANA;CENTRO;1;1;2;1;6;2;2;12;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;1;0;22;69,5
