motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;requi_legales;p_cumplimiento
PROGRAMACION;28;24/10/2020;7/12/2020;1,58E+12;URBANA;UNIVERSITARIO;2;2;2;2;2;10;1;1;6;2;2;2;2;20;1;2;2;2;1;2;22,5;1;2;2;21;2;5;84,5
PROGRAMACION;29;17/04/2020;16/12/2020;1,58E+13;URBANA;CENTRO;2;2;2;2;2;10;2;2;12;2;2;2;1;17,5;1;2;2;2;2;1;16;2;2;2;25;2;5;85,5
PROGRAMACION;30;14/04/2020;16/12/2020;1,58E+11;URBANA;PUENTE PESCA;2;2;2;2;2;10;2;2;12;2;1;1;2;15,5;2;2;1;2;2;2;26,75;1;1;2;16,5;2;5;85,75
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
