motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;requi_legales;p_cumplimiento
PROGRAMACION;153;23/05/2020;1/06/2020;1,58E+12;URBANA;UNIVERSITARIO;2;1;2;2;2;9,25;2;2;12;2;0;2;2;17;2;2;2;2;2;0;24;2;2;2;25;2;5;92,25
PROGRAMACION;154;23/05/2020;1/06/2020;1,58E+12;URBANA;UNIVERSITARIO;2;1;1;2;2;8,5;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;86,5
PROGRAMACION;155;23/05/2020;1/06/2020;1,58E+12;URBANA;UNIVERSITARIO;2;2;2;1;2;8,5;2;2;12;2;1;2;1;16;2;2;2;2;2;0;24;2;2;2;25;2;5;90,5
PROGRAMACION;156;22/05/2020;1/06/2020;1,58E+12;URBANA;UNIVERSITARIO;2;2;2;1;2;8,5;2;2;12;2;0;2;0;12;2;2;1;2;2;0;22,75;2;2;2;25;2;5;85,25
PROGRAMACION;157;22/05/2020;1/06/2020;1,58E+12;URBANA;EL BOSQUE;2;2;2;2;2;10;1;2;9;2;0;2;2;17;2;2;2;2;2;1;26;2;2;2;25;2;5;92
PROGRAMACION;158;18/05/2020;1/06/2020;1,58E+12;URBANA;CATALU¢A;2;2;2;2;2;10;2;2;12;2;0;2;0;12;2;2;2;2;2;0;28;2;2;2;25;2;5;92
PROGRAMACION;159;18/05/2020;1/06/2020;1,58E+14;URBANA;SANTA CATALINA;2;2;2;1;2;8,5;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;1;2;2;21;2;5;82,5
PROGRAMACION;160;18/05/2020;1/06/2020;1,58E+12;URBANA;VILLA SOFIA;2;2;2;0;2;7;2;2;12;2;1;2;2;18,5;2;2;2;2;2;0;24;2;2;2;25;2;5;91,5
PROGRAMACION;161;18/05/2020;1/06/2020;1,58E+12;URBANA;SANTA CATALINA;2;2;2;1;1;7,5;2;2;12;2;0;2;0;12;2;2;1;2;1;0;19,75;2;2;2;25;2;5;81,25
PROGRAMACION;162;18/05/2020;1/06/2020;1,58E+11;URBANA;UNIVERSITARIO;2;2;2;1;2;8,5;2;2;12;2;0;2;2;17;2;2;2;2;2;0;24;2;2;2;25;2;5;91,5
PROGRAMACION;163;17/05/2020;1/06/2020;1,58E+12;URBANA;EL BOSQUE SEGUNDA ETAPA;2;2;2;0;2;7;2;2;12;2;2;2;2;20;2;2;2;2;2;0;24;2;2;2;25;2;5;93
PROGRAMACION;164;16/05/2020;1/06/2020;1,58E+11;URBANA;CONCHUCUA;2;0;2;2;2;8,5;2;2;12;2;0;2;0;12;2;2;1;2;1;0;19,75;2;2;2;25;2;5;82,25
PROGRAMACION;165;16/05/2020;1/06/2020;1,58E+12;URBANA;SECTOR LOS PULIDOS;2;2;1;0;1;5,25;2;2;12;2;0;1;1;11,5;2;2;2;2;1;0;21;1;2;2;21;2;5;75,75
PROGRAMACION;166;16/05/2020;1/06/2020;1,58E+12;URBANA;RINCON DEL CACIQUE;2;2;2;1;1;7,5;2;1;9;2;0;2;0;12;2;2;1;2;1;0;19,75;1;2;2;21;2;5;69,25
PROGRAMACION;167;15/05/2020;1/06/2020;1,58E+13;URBANA;LAGUITO;2;2;2;2;2;10;2;2;12;2;0;2;0;12;2;2;2;2;2;1;26;2;2;2;25;2;5;90
PROGRAMACION;168;15/05/2020;1/06/2020;1,58E+14;URBANA;LAGUITO;2;2;2;2;2;10;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;1;2;2;21;2;5;84
PROGRAMACION;169;15/05/2020;1/06/2020;1,58E+11;URBANA;PINARES DE SAN LUIS;2;2;2;1;2;8,5;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;86,5
PROGRAMACION;170;15/05/2020;1/06/2020;1,58E+15;URBANA;CHAPINERO;2;2;2;1;2;8,5;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;86,5
PROGRAMACION;171;14/05/2020;1/06/2020;1,58E+12;URBANA;SAN CRISTOBAL;2;2;2;2;2;10;2;1;9;2;2;2;2;20;2;2;2;2;2;1;23,5;2;2;2;25;2;5;92,5
PROGRAMACION;172;14/05/2020;1/06/2020;1,58E+12;URBANA;PRADERA;2;2;1;1;1;6,75;2;1;9;2;0;2;0;12;2;2;2;2;2;0;24;1;2;2;25;2;5;81,75
PROGRAMACION;173;14/05/2020;1/06/2020;NO PRESENTA;URBANA;SAN CRISTOBAL;2;2;2;1;2;8,5;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;86,5
PROGRAMACION;174;12/05/2020;1/06/2020;1,58E+12;URBANA;LA VILLITA;2;2;2;2;1;9;2;1;9;2;0;1;0;9;2;2;1;2;2;0;22,75;2;2;2;25;2;5;79,75
PROGRAMACION;175;12/05/2020;1/06/2020;1,58E+12;URBANA;LA VILLITA;2;2;2;2;2;10;2;1;9;2;0;1;0;9;2;2;1;2;1;0;19,75;2;2;2;25;2;5;77,75
