motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;26;11/03/2020;20/04/2020;1,58E+12;URBANA;CENTRO;2;1;1;2;8;1;2;9,5;2;2;1;2;16,5;1;2;2;2;22,5;2;2;2;2;1;1;28,5;85
PROGRAMACION;27;26/03/2020;20/04/2020;1,58E+12;URBANA;EL ROSARIO;2;2;1;2;9;2;2;12;2;2;2;2;20;1;2;2;1;20,5;2;2;1;2;2;2;31;92,5
PROGRAMACION;28;27/03/2020;20/04/2020;1,58E+12;URBANA;SANTA CATALINA;2;2;1;1;7;2;2;12;2;0;1;0;10,5;1;2;2;2;22,5;1;2;1;2;1;0;22;74
PROGRAMACION;29;19/03/2020;20/04/2020;1,58E+14;URBANA;UNIVERSITARIO;1;1;1;1;5;1;2;10,5;2;2;1;1;14,5;1;2;2;2;22,5;1;2;2;2;1;1;25;77,5
PROGRAMACION;30;19/03/2020;20/04/2020;1,58E+11;URBANA;UNIVERSITARIO;1;2;1;2;8;2;2;12;2;1;2;2;19;1;2;2;2;22,5;1;2;2;2;1;0;22;83,5
PROGRAMACION;31;18/03/2020;20/04/2020;1,57E+13;URBANA;TERMINAL;1;2;2;2;9;2;1;8,5;2;0;1;2;14,5;1;2;2;2;22,5;2;2;1;2;1;1;26,5;81
PROGRAMACION;32;17/05/2020;17/03/2020;1,58E+12;URBANA;UNIVERSITARIO;2;1;1;1;6;2;2;12;2;0;1;0;10,5;1;2;1;2;19;1;2;1;2;2;0;25,5;73
PROGRAMACION;33;6/03/2020;20/04/2020;1,58E+14;URBANA;SANTA INES;2;2;1;1;7;1;2;9,5;2;0;1;0;10,5;1;2;2;1;20,5;2;2;1;2;2;0;29;76,5
PROGRAMACION;34;26/03/2020;20/04/2020;157597220864/6;URBANA;CENTRO;2;2;2;2;10;2;2;12;2;0;2;0;14;2;2;1;2;21,5;2;2;2;2;2;0;31;88,5
PROGRAMACION;35;2/04/2020;20/04/2020;1,58E+14;URBANA;CENTRO;2;2;2;2;10;1;2;9,5;2;2;2;1;18;1;2;1;2;19;1;1;2;2;1;1;23;79,5
PROGRAMACION;36;2/04/2020;25/04/2020;1,58E+12;URBANA;CENTRO;2;2;2;2;10;2;2;12;2;2;2;2;20;1;2;1;2;19;1;1;2;2;1;1;23;84
PROGRAMACION;37;4/06/2020;28/06/2020;1,58E+14;URBANA;CHAPINERO ALTO;1;1;1;1;5;2;2;12;2;0;1;0;10,5;1;2;1;1;17;1;2;1;2;1;0;22;66,5
PROGRAMACION;38;4/06/2020;28/06/2020;1,58E+12;URBANA;SUGAMUXI;2;2;1;1;7;1;2;9,5;2;1;2;1;17;1;2;2;2;22,5;1;2;2;2;1;0;24;80
PROGRAMACION;39;2/06/2020;28/06/2020;1,58E+14;URBANA;CENTRO;2;1;2;1;7;2;2;12;2;0;2;2;18;1;2;1;2;19;1;2;2;2;1;0;24;80
PROGRAMACION;40;4/06/2020;28/06/2020;1,58E+11;URBANA;SUGAMUXI;2;2;2;1;8;2;1;8,5;2;0;1;0;10,5;1;2;1;2;19;1;2;1;2;1;0;22;68
PROGRAMACION;41;28/05/2020;25/06/2020;NO PRESENTA;URBANA;SANTA INES;2;2;1;1;7;2;2;12;2;0;2;0;14;1;2;2;2;22,5;1;2;2;2;1;0;24;79,5
SEGUIMIENTO;42;28/05/2020;25/06/2020;1,58E+12;URBANA;EL ROSARIO;2;2;2;1;8;1;2;9,5;2;0;1;0;10,5;1;2;2;1;20,5;1;2;1;2;1;0;22;70,5
SEGUIMIENTO;43;27/05/2020;25/06/2020;1,58E+14;URBANA;LAGUITO;2;2;1;2;9;2;2;12;2;2;2;2;20;2;2;2;2;25;2;2;2;2;2;0;31;97
PROGRAMACION;44;26/05/2020;25/06/2020;1,58E+11;URBANA;SANTA INES;2;2;1;1;7;1;2;9,5;2;2;2;2;20;1;2;2;1;20,5;1;2;2;2;2;0;27,5;84,5
PROGRAMACION;45;26/05/2020;28/06/2020;1,58E+12;URBANA;SANTA HELENA;2;1;1;1;6;2;2;12;2;0;1;0;10,5;1;2;1;1;17;1;2;1;2;1;0;22;67,5
