motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;direccion_notificacion;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;196;9/11/2020;1/12/2020;NO PRESENTA;URBANA;VANEGAS;VANEGAS;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;1;0;22;67,5
PROGRAMACION;197;20/11/2020;2/11/2020;1,58E+14;URBANA;MAGDALENA;NO PRESENTA;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60,5
SEGUIMIENTO;198;4/12/2020;15/12/2020;1,58E+12;URBANA;ALISOS;CARRERA 10 N 17/07;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;60
SEGUIMIENTO;199;3/12/2020;15/12/2020;1,58E+13;URBANA;LIBERTADOR;CALLE 14 N 26/62;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;60
PROGRAMACION;200;2/12/2020;15/12/2020;NO PRESENTA;URBANA;LA PRADERA;CARERRA 11 N 39/69;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;64
PROGRAMACION;201;3/12/2020;15/12/2020;1,58E+12;URBANA;COLOMBIA;CARRERA 22 N 11B/75;1;1;1;1;5;2;1;8,5;1;1;1;1;10;1;2;1;1;17;1;2;2;2;1;0;24;64,5
SEGUIMIENTO;202;10/12/2020;28/12/2020;1,58E+14;URBANA;SUGAMUXI;TRV 7 N 5 D 86;1;1;1;1;5;1;1;6;1;2;1;1;11;1;2;1;1;17;1;2;2;2;1;0;24;63
SEGUIMIENTO;203;10/12/2020;28/12/2020;1,58E+14;URBANA;SUGAMUXI;TRV 7 N 5 D 55;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;62,5
SEGUIMIENTO;204;10/12/2020;28/12/2020;1,58E+12;URBANA;SUGAMUXI;CARRERA 5 N 5 A 13;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;62,5
SEGUIMIENTO;205;9/12/2020;28/12/2020;1,58E+14;URBANA;LA SIERRA;CARRERA 8 CALLE 4 ESQUINA;2;1;1;1;6;1;1;6;1;0;1;1;9;1;2;2;1;20,5;1;2;1;2;1;0;22;63,5
SEGUIMIENTO;206;7/12/2020;28/12/2020;1,58E+12;URBANA;URIBE URIBE;CALLE 11 N 25 92;2;1;1;1;6;2;2;12;1;1;1;1;10;1;2;1;2;19;1;2;2;2;1;0;24;71
SEGUIMIENTO;207;7/12/2020;28/12/2020;1,58E+12;URBANA;JARDIN;CARRERA 26 N 11 B 31;2;1;1;1;6;1;1;6;1;1;1;1;10;1;2;1;2;19;1;2;2;2;1;0;24;65
SEGUIMIENTO;208;7/12/2020;28/12/2020;1,58E+12;URBANA;JARDIN;CALLE 13 N 24 17;1;1;1;1;5;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;2;0;27,5;62,5
SEGUIMIENTO;209;14/12/2020;28/12/2020;1,58E+11;URBANA;VENECIA;CARRERA 11 N 28 27;1;1;1;1;5;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;1;2;2;2;2;0;27,5;75,5
SEGUIMIENTO;210;4/12/2020;28/12/2020;1,58E+11;URBANA;MAGDALENA;CARRERA 26 N 6 A 40;1;1;1;2;7;1;2;9,5;2;2;1;2;16,5;1;2;0;1;13,5;2;2;2;2;1;0;27,5;74
SEGUIMIENTO;211;9/12/2020;28/12/2020;1,58E+11;URBANA;EL BOSQUE;CARRERA 14 N 1 08 LOCAL 01;0;1;1;1;5;1;2;9,5;1;0;1;0;7;0;2;1;1;5,5;1;2;1;2;1;0;22;49
SEGUIMIENTO;212;11/12/2020;28/12/2020;1,58E+14;URBANA;LAS MARIAS;CALLE 46  N 12/138;1;1;1;1;5;1;1;6;1;0;1;0;7;1;2;1;2;19;1;2;2;2;1;0;24;61
SEGUIMIENTO;213;10/12/2020;28/12/2020;1,58E+11;URBANA;EL BOSQUE;CARRERA 14 N 1 08 LOCAL 01;1;1;1;2;7;1;2;9,5;1;0;2;0;10,5;1;2;1;1;17;1;2;2;2;2;0;27,5;71,5
